v8-version,5,1,281,101,0
code-creation,Handler,4,0x22b1b5522600,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b5522680,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x22b1b5522700,204,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b55227e0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b5522860,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b55228e0,116,"An IC handler from the snapshot"
code-creation,CallIC,12,0x22b1b5522960,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x22b1b55229e0,464,"A call IC from the snapshot"
tick,0x7f0951beb6fd,21002,0,0x0,4
tick,0x7f0951beb6fd,22807,0,0x0,4
tick,0x7f0951ece26b,23148,0,0x0,4
tick,0x7f0951ece26b,23243,0,0x0,4
code-creation,Stub,15,0x22b1b5522bc0,151,"BinaryOpICStub"
code-creation,Stub,15,0x22b1b5522c60,212,"BinaryOpICStub"
tick,0x7f0951beb6fd,24312,0,0x0,4
code-creation,Stub,15,0x22b1b5522d40,212,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b5522e20,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x22b1b5522ea0,244,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b5522fa0,935,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b5523360,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b55233e0,120,"An IC handler from the snapshot"
code-creation,Stub,3,0x22b1b5523460,117,"ToNumberStub"
code-creation,CallIC,12,0x22b1b55234e0,458,"A call IC from the snapshot"
code-creation,Handler,4,0x22b1b55236c0,120,"An IC handler from the snapshot"
tick,0x7f0951beb6fd,25276,0,0x0,4
code-creation,Handler,4,0x22b1b5523740,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b55237c0,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b5523840,116,"An IC handler from the snapshot"
code-creation,KeyedLoadIC,11,0x22b1b55238c0,393,"A keyed load IC from the snapshot"
code-creation,KeyedLoadIC,11,0x22b1b5523a60,1049,"A keyed load IC from the snapshot"
code-creation,Stub,3,0x22b1b5523e80,968,"NameDictionaryLookupStub"
code-creation,Stub,15,0x22b1b5524260,467,"BinaryOpICStub"
code-creation,Stub,15,0x22b1b5524440,204,"BinaryOpICStub"
code-creation,Stub,3,0x22b1b5524520,945,"SubStringStub"
code-creation,Stub,3,0x22b1b55248e0,791,"FastNewClosureStub"
code-creation,Stub,15,0x22b1b5524c00,419,"BinaryOpICStub"
code-creation,Stub,15,0x22b1b5524dc0,415,"BinaryOpICStub"
code-creation,Stub,3,0x22b1b5524f60,385,"JSEntryStub"
code-creation,CallIC,12,0x22b1b5525100,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x22b1b5525180,464,"A call IC from the snapshot"
code-creation,Stub,3,0x22b1b5525360,345,"InstanceOfStub"
code-creation,Stub,15,0x22b1b55254c0,447,"BinaryOpICStub"
code-creation,Stub,15,0x22b1b5525680,151,"BinaryOpICStub"
code-creation,StoreIC,13,0x22b1b5525720,528,"A store IC from the snapshot"
code-creation,Handler,4,0x22b1b5525940,120,"An IC handler from the snapshot"
code-creation,Stub,17,0x22b1b55259c0,192,"ToBooleanICStub"
code-creation,KeyedStoreIC,14,0x22b1b5525a80,422,"A keyed store IC from the snapshot"
code-creation,KeyedStoreIC,14,0x22b1b5525c40,3494,"A keyed store IC from the snapshot"
code-creation,Stub,3,0x22b1b5526a00,1526,"RecordWriteStub"
code-creation,Stub,3,0x22b1b5527000,1508,"RecordWriteStub"
code-creation,Stub,3,0x22b1b5527600,1492,"RecordWriteStub"
code-creation,Stub,3,0x22b1b5527be0,600,"RecordWriteStub"
code-creation,Handler,4,0x22b1b5527e40,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x22b1b5527ec0,224,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b5527fa0,939,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b5528360,120,"An IC handler from the snapshot"
code-creation,CallIC,12,0x22b1b55283e0,464,"A call IC from the snapshot"
code-creation,Handler,4,0x22b1b55285c0,951,"An IC handler from the snapshot"
code-creation,CallIC,12,0x22b1b5528980,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x22b1b5528a00,464,"A call IC from the snapshot"
code-creation,Handler,4,0x22b1b5528be0,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b5528c60,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x22b1b5528ce0,443,"BinaryOpICStub"
code-creation,Handler,4,0x22b1b5528ea0,348,"An IC handler from the snapshot"
code-creation,Stub,15,0x22b1b5529000,443,"BinaryOpICStub"
code-creation,Stub,15,0x22b1b55291c0,244,"BinaryOpICStub"
code-creation,Stub,15,0x22b1b55292c0,204,"BinaryOpICStub"
code-creation,Stub,17,0x22b1b55293a0,204,"ToBooleanICStub"
code-creation,Handler,4,0x22b1b5529480,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b5529500,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x22b1b5529580,212,"BinaryOpICStub"
code-creation,Stub,15,0x22b1b5529660,204,"BinaryOpICStub"
code-creation,CallIC,12,0x22b1b5529740,113,"A call IC from the snapshot"
code-creation,Handler,4,0x22b1b55297c0,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b5529840,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b55298c0,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x22b1b5529940,204,"BinaryOpICStub"
code-creation,Stub,3,0x22b1b5529a20,117,"StubFailureTrampolineStub"
code-creation,Stub,3,0x22b1b5529aa0,991,"NameDictionaryLookupStub"
code-creation,Stub,3,0x22b1b5529e80,463,"FastNewContextStub"
code-creation,Handler,4,0x22b1b552a060,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b552a0e0,240,"An IC handler from the snapshot"
code-creation,Handler,4,0x22b1b552a1e0,120,"An IC handler from the snapshot"
code-creation,Stub,3,0x22b1b552a260,2388,"RecordWriteStub"
