v8-version,5,1,281,101,0
code-creation,Stub,15,0x3742f90254c0,447,"BinaryOpICStub"
code-creation,Stub,15,0x3742f9025680,151,"BinaryOpICStub"
code-creation,StoreIC,13,0x3742f9025720,528,"A store IC from the snapshot"
code-creation,Handler,4,0x3742f9025940,120,"An IC handler from the snapshot"
code-creation,Stub,17,0x3742f90259c0,192,"ToBooleanICStub"
code-creation,KeyedStoreIC,14,0x3742f9025a80,422,"A keyed store IC from the snapshot"
code-creation,KeyedStoreIC,14,0x3742f9025c40,3494,"A keyed store IC from the snapshot"
code-creation,Stub,3,0x3742f9026a00,1526,"RecordWriteStub"
code-creation,Stub,3,0x3742f9027000,1508,"RecordWriteStub"
code-creation,Stub,3,0x3742f9027600,1492,"RecordWriteStub"
code-creation,Stub,3,0x3742f9027be0,600,"RecordWriteStub"
code-creation,Handler,4,0x3742f9027e40,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x3742f9027ec0,224,"BinaryOpICStub"
code-creation,Handler,4,0x3742f9027fa0,939,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f9028360,120,"An IC handler from the snapshot"
code-creation,CallIC,12,0x3742f90283e0,464,"A call IC from the snapshot"
code-creation,Handler,4,0x3742f90285c0,951,"An IC handler from the snapshot"
code-creation,CallIC,12,0x3742f9028980,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x3742f9028a00,464,"A call IC from the snapshot"
code-creation,Handler,4,0x3742f9028be0,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f9028c60,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x3742f9028ce0,443,"BinaryOpICStub"
code-creation,Handler,4,0x3742f9028ea0,348,"An IC handler from the snapshot"
code-creation,Stub,15,0x3742f9029000,443,"BinaryOpICStub"
code-creation,Stub,15,0x3742f90291c0,244,"BinaryOpICStub"
code-creation,Stub,15,0x3742f90292c0,204,"BinaryOpICStub"
code-creation,Stub,17,0x3742f90293a0,204,"ToBooleanICStub"
code-creation,Handler,4,0x3742f9029480,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f9029500,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x3742f9029580,212,"BinaryOpICStub"
code-creation,Stub,15,0x3742f9029660,204,"BinaryOpICStub"
code-creation,CallIC,12,0x3742f9029740,113,"A call IC from the snapshot"
code-creation,Handler,4,0x3742f90297c0,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f9029840,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f90298c0,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x3742f9029940,204,"BinaryOpICStub"
code-creation,Stub,3,0x3742f9029a20,117,"StubFailureTrampolineStub"
code-creation,Stub,3,0x3742f9029aa0,991,"NameDictionaryLookupStub"
code-creation,Stub,3,0x3742f9029e80,463,"FastNewContextStub"
code-creation,Handler,4,0x3742f902a060,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f902a0e0,240,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f902a1e0,120,"An IC handler from the snapshot"
code-creation,Stub,3,0x3742f902a260,2388,"RecordWriteStub"
tick,0xcb7c55,18255,0,0x0,1
tick,0x7f0884ab56fd,18292,0,0x0,4
tick,0x7f0884ab56fd,18320,0,0x0,4
tick,0x7f0884ab56fd,18347,0,0x0,4
tick,0x7f0884ab56fd,18377,0,0x0,4
tick,0x7f0884ab56fd,18405,0,0x0,4
tick,0x7f0884ab56fd,18431,0,0x0,4
tick,0x7f0884ab56fd,18457,0,0x0,4
tick,0x7f0884ab56fd,18483,0,0x0,4
tick,0x7f0884a2d6e0,18517,0,0x0,4
tick,0x7f0884d9826b,18546,0,0x0,4
code-creation,Stub,3,0x3742f902abc0,1187,"FastNewContextStub"
code-creation,Stub,15,0x3742f902b080,447,"BinaryOpICStub"
code-creation,Handler,4,0x3742f902b240,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x3742f902b2c0,224,"BinaryOpICStub"
code-creation,Handler,4,0x3742f902b3a0,116,"An IC handler from the snapshot"
code-creation,Stub,3,0x3742f902b420,972,"NameDictionaryLookupStub"
code-creation,Stub,3,0x3742f902b800,2205,"FastArrayPushStub"
code-creation,Stub,3,0x3742f902c0a0,2360,"RecordWriteStub"
code-creation,Handler,4,0x3742f902c9e0,116,"An IC handler from the snapshot"
code-creation,Stub,3,0x3742f902ca60,743,"FastNewContextStub"
code-creation,Handler,4,0x3742f902cd60,240,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f902ce60,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f902cee0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f902cf60,240,"An IC handler from the snapshot"
code-creation,Stub,3,0x3742f902d060,483,"FastNewObjectStub"
code-creation,Handler,4,0x3742f902d260,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x3742f902d2e0,212,"BinaryOpICStub"
code-creation,Handler,4,0x3742f902d3c0,112,"An IC handler from the snapshot"
code-creation,Stub,15,0x3742f902d440,332,"BinaryOpICStub"
code-creation,Stub,16,0x3742f902d5a0,194,"CompareICStub"
code-creation,Stub,3,0x3742f902d680,391,"FastNewContextStub"
code-creation,Stub,3,0x3742f902d820,652,"TypeofStub"
code-creation,Stub,15,0x3742f902dac0,284,"BinaryOpICStub"
code-creation,Stub,15,0x3742f902dbe0,212,"BinaryOpICStub"
code-creation,Stub,15,0x3742f902dcc0,320,"BinaryOpICStub"
code-creation,Stub,15,0x3742f902de00,224,"BinaryOpICStub"
code-creation,Stub,15,0x3742f902dee0,151,"BinaryOpICStub"
code-creation,Stub,15,0x3742f902df80,224,"BinaryOpICStub"
code-creation,Stub,15,0x3742f902e060,276,"BinaryOpICStub"
code-creation,StoreIC,13,0x3742f902e180,528,"A store IC from the snapshot"
code-creation,Stub,15,0x3742f902e3a0,204,"BinaryOpICStub"
code-creation,Handler,4,0x3742f902e480,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x3742f902e500,467,"BinaryOpICStub"
code-creation,Stub,15,0x3742f902e6e0,224,"BinaryOpICStub"
code-creation,Stub,15,0x3742f902e7c0,415,"BinaryOpICStub"
code-creation,Stub,3,0x3742f902e960,116,"StubFailureTrampolineStub"
code-creation,Stub,3,0x3742f902e9e0,475,"FastNewContextStub"
code-creation,Handler,4,0x3742f902ebc0,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x3742f902ec40,332,"BinaryOpICStub"
code-creation,Stub,15,0x3742f902eda0,419,"BinaryOpICStub"
code-creation,Handler,4,0x3742f902ef60,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x3742f902efe0,204,"BinaryOpICStub"
code-creation,Handler,4,0x3742f902f0c0,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3742f902f140,116,"An IC handler from the snapshot"
code-creation,Stub,3,0x3742f902f1c0,2418,"RecordWriteStub"
code-creation,Stub,16,0x3742f902fb40,213,"CompareICStub"
code-creation,Handler,4,0x3742f902fc20,116,"An IC handler from the snapshot"
code-creation,Stub,3,0x3742f902fca0,379,"FastNewContextStub"
code-creation,Stub,15,0x3742f902fe20,151,"BinaryOpICStub"
code-creation,Stub,15,0x3742f902fec0,276,"BinaryOpICStub"
tick,0x7f0884ab56fd,20127,0,0x0,4
code-creation,Stub,3,0x3742f902ffe0,791,"FastNewClosureStub"
code-creation,Stub,16,0x3742f9030300,172,"CompareICStub"
code-creation,Handler,4,0x3742f90303c0,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x3742f9030440,240,"BinaryOpICStub"
code-creation,Stub,16,0x3742f9030540,172,"CompareICStub"
code-creation,Stub,15,0x3742f9030600,204,"BinaryOpICStub"
