v8-version,5,1,281,101,0
code-creation,Stub,15,0x3cbbd671a940,204,"BinaryOpICStub"
code-creation,Stub,17,0x3cbbd671aa20,216,"ToBooleanICStub"
code-creation,Handler,4,0x3cbbd671ab00,112,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd671ab80,927,"An IC handler from the snapshot"
code-creation,Stub,15,0x3cbbd671af20,419,"BinaryOpICStub"
code-creation,Handler,4,0x3cbbd671b0e0,120,"An IC handler from the snapshot"
code-creation,Stub,16,0x3cbbd671b160,194,"CompareICStub"
code-creation,Handler,4,0x3cbbd671b240,348,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd671b3a0,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x3cbbd671b420,212,"BinaryOpICStub"
code-creation,Stub,15,0x3cbbd671b500,224,"BinaryOpICStub"
code-creation,Handler,4,0x3cbbd671b5e0,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x3cbbd671b660,111,"BinaryOpICWithAllocationSiteStub"
code-creation,Handler,4,0x3cbbd671b6e0,551,"An IC handler from the snapshot"
code-creation,Stub,3,0x3cbbd671b920,2380,"RecordWriteStub"
code-creation,Stub,15,0x3cbbd671c280,204,"BinaryOpICStub"
code-creation,Stub,3,0x3cbbd671c360,1529,"RecordWriteStub"
code-creation,Stub,3,0x3cbbd671c960,579,"InternalArraySingleArgumentConstructorStub"
code-creation,Handler,4,0x3cbbd671cbc0,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x3cbbd671cc40,240,"BinaryOpICStub"
code-creation,Handler,4,0x3cbbd671cd40,120,"An IC handler from the snapshot"
code-creation,Stub,3,0x3cbbd671cdc0,734,"ToLengthStub"
code-creation,Stub,3,0x3cbbd671d0a0,145,"NonNumberToNumberStub"
code-creation,Stub,3,0x3cbbd671d140,1503,"RecordWriteStub"
code-creation,Stub,15,0x3cbbd671d720,276,"BinaryOpICStub"
code-creation,Handler,4,0x3cbbd671d840,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd671d8c0,180,"An IC handler from the snapshot"
code-creation,Stub,15,0x3cbbd671d980,151,"BinaryOpICStub"
code-creation,Stub,3,0x3cbbd671da20,503,"InternalArrayNoArgumentConstructorStub"
code-creation,CallIC,12,0x3cbbd671dc20,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x3cbbd671dca0,464,"A call IC from the snapshot"
code-creation,Stub,15,0x3cbbd671de80,415,"BinaryOpICStub"
code-creation,Handler,4,0x3cbbd671e020,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd671e0a0,939,"An IC handler from the snapshot"
code-creation,Stub,3,0x3cbbd671e460,188,"DoubleToIStub"
code-creation,Stub,15,0x3cbbd671e520,467,"BinaryOpICStub"
code-creation,Stub,3,0x3cbbd671e700,1508,"RecordWriteStub"
code-creation,LoadIC,10,0x3cbbd671ed00,514,"A load IC from the snapshot"
code-creation,Handler,4,0x3cbbd671ef20,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x3cbbd671efa0,467,"BinaryOpICStub"
code-creation,Stub,15,0x3cbbd671f180,415,"BinaryOpICStub"
code-creation,Handler,4,0x3cbbd671f320,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd671f3a0,264,"An IC handler from the snapshot"
code-creation,Stub,16,0x3cbbd671f4c0,172,"CompareICStub"
code-creation,Stub,15,0x3cbbd671f580,443,"BinaryOpICStub"
code-creation,Handler,4,0x3cbbd671f740,112,"An IC handler from the snapshot"
code-creation,Stub,15,0x3cbbd671f7c0,443,"BinaryOpICStub"
code-creation,Handler,4,0x3cbbd671f980,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x3cbbd671fa00,443,"BinaryOpICStub"
code-creation,Handler,4,0x3cbbd671fbc0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd671fc40,160,"An IC handler from the snapshot"
code-creation,Stub,3,0x3cbbd671fce0,791,"FastNewClosureStub"
code-creation,Stub,17,0x3cbbd6720000,150,"ToBooleanICStub"
code-creation,Stub,3,0x3cbbd67200a0,206,"InternalArrayConstructorStub"
code-creation,Stub,3,0x3cbbd6720180,503,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x3cbbd6720380,579,"InternalArraySingleArgumentConstructorStub"
tick,0x7f48cc5af6fd,19583,0,0x0,4
tick,0x7f48cc5af6fd,19617,0,0x0,4
code-creation,Stub,3,0x3cbbd67205e0,495,"InternalArrayNArgumentsConstructorStub"
code-creation,Handler,4,0x3cbbd67207e0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd6720860,116,"An IC handler from the snapshot"
code-creation,Stub,3,0x3cbbd67208e0,555,"ArrayNArgumentsConstructorStub"
code-creation,Stub,15,0x3cbbd6720b20,151,"BinaryOpICStub"
code-creation,Handler,4,0x3cbbd6720bc0,951,"An IC handler from the snapshot"
code-creation,CallIC,12,0x3cbbd6720f80,464,"A call IC from the snapshot"
code-creation,Handler,4,0x3cbbd6721160,947,"An IC handler from the snapshot"
code-creation,Stub,15,0x3cbbd6721520,111,"BinaryOpICWithAllocationSiteStub"
code-creation,Stub,3,0x3cbbd67215a0,1387,"BinaryOpWithAllocationSiteStub"
code-creation,Stub,3,0x3cbbd6721b20,188,"DoubleToIStub"
code-creation,Stub,15,0x3cbbd6721be0,419,"BinaryOpICStub"
code-creation,Stub,15,0x3cbbd6721da0,443,"BinaryOpICStub"
code-creation,Stub,15,0x3cbbd6721f60,224,"BinaryOpICStub"
code-creation,Stub,3,0x3cbbd6722040,511,"ArrayNoArgumentConstructorStub"
code-creation,Stub,15,0x3cbbd6722240,284,"BinaryOpICStub"
code-creation,Handler,4,0x3cbbd6722360,328,"An IC handler from the snapshot"
code-creation,Stub,15,0x3cbbd67224c0,320,"BinaryOpICStub"
code-creation,Handler,4,0x3cbbd6722600,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd6722680,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x3cbbd6722700,204,"BinaryOpICStub"
code-creation,Handler,4,0x3cbbd67227e0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd6722860,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd67228e0,116,"An IC handler from the snapshot"
code-creation,CallIC,12,0x3cbbd6722960,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x3cbbd67229e0,464,"A call IC from the snapshot"
code-creation,Stub,15,0x3cbbd6722bc0,151,"BinaryOpICStub"
code-creation,Stub,15,0x3cbbd6722c60,212,"BinaryOpICStub"
code-creation,Stub,15,0x3cbbd6722d40,212,"BinaryOpICStub"
code-creation,Handler,4,0x3cbbd6722e20,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x3cbbd6722ea0,244,"BinaryOpICStub"
tick,0x7f48cc5af6fd,20533,0,0x0,4
code-creation,Handler,4,0x3cbbd6722fa0,935,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd6723360,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd67233e0,120,"An IC handler from the snapshot"
code-creation,Stub,3,0x3cbbd6723460,117,"ToNumberStub"
code-creation,CallIC,12,0x3cbbd67234e0,458,"A call IC from the snapshot"
code-creation,Handler,4,0x3cbbd67236c0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd6723740,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd67237c0,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd6723840,116,"An IC handler from the snapshot"
code-creation,KeyedLoadIC,11,0x3cbbd67238c0,393,"A keyed load IC from the snapshot"
code-creation,KeyedLoadIC,11,0x3cbbd6723a60,1049,"A keyed load IC from the snapshot"
code-creation,Stub,3,0x3cbbd6723e80,968,"NameDictionaryLookupStub"
code-creation,Stub,15,0x3cbbd6724260,467,"BinaryOpICStub"
code-creation,Stub,15,0x3cbbd6724440,204,"BinaryOpICStub"
code-creation,Stub,3,0x3cbbd6724520,945,"SubStringStub"
code-creation,Stub,3,0x3cbbd67248e0,791,"FastNewClosureStub"
code-creation,Stub,15,0x3cbbd6724c00,419,"BinaryOpICStub"
code-creation,Stub,15,0x3cbbd6724dc0,415,"BinaryOpICStub"
code-creation,Stub,3,0x3cbbd6724f60,385,"JSEntryStub"
code-creation,CallIC,12,0x3cbbd6725100,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x3cbbd6725180,464,"A call IC from the snapshot"
code-creation,Stub,3,0x3cbbd6725360,345,"InstanceOfStub"
code-creation,Stub,15,0x3cbbd67254c0,447,"BinaryOpICStub"
code-creation,Stub,15,0x3cbbd6725680,151,"BinaryOpICStub"
code-creation,StoreIC,13,0x3cbbd6725720,528,"A store IC from the snapshot"
code-creation,Handler,4,0x3cbbd6725940,120,"An IC handler from the snapshot"
code-creation,Stub,17,0x3cbbd67259c0,192,"ToBooleanICStub"
code-creation,KeyedStoreIC,14,0x3cbbd6725a80,422,"A keyed store IC from the snapshot"
code-creation,KeyedStoreIC,14,0x3cbbd6725c40,3494,"A keyed store IC from the snapshot"
code-creation,Stub,3,0x3cbbd6726a00,1526,"RecordWriteStub"
code-creation,Stub,3,0x3cbbd6727000,1508,"RecordWriteStub"
code-creation,Stub,3,0x3cbbd6727600,1492,"RecordWriteStub"
code-creation,Stub,3,0x3cbbd6727be0,600,"RecordWriteStub"
code-creation,Handler,4,0x3cbbd6727e40,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x3cbbd6727ec0,224,"BinaryOpICStub"
code-creation,Handler,4,0x3cbbd6727fa0,939,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd6728360,120,"An IC handler from the snapshot"
code-creation,CallIC,12,0x3cbbd67283e0,464,"A call IC from the snapshot"
code-creation,Handler,4,0x3cbbd67285c0,951,"An IC handler from the snapshot"
code-creation,CallIC,12,0x3cbbd6728980,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x3cbbd6728a00,464,"A call IC from the snapshot"
code-creation,Handler,4,0x3cbbd6728be0,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd6728c60,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x3cbbd6728ce0,443,"BinaryOpICStub"
code-creation,Handler,4,0x3cbbd6728ea0,348,"An IC handler from the snapshot"
code-creation,Stub,15,0x3cbbd6729000,443,"BinaryOpICStub"
code-creation,Stub,15,0x3cbbd67291c0,244,"BinaryOpICStub"
code-creation,Stub,15,0x3cbbd67292c0,204,"BinaryOpICStub"
code-creation,Stub,17,0x3cbbd67293a0,204,"ToBooleanICStub"
code-creation,Handler,4,0x3cbbd6729480,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd6729500,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x3cbbd6729580,212,"BinaryOpICStub"
code-creation,Stub,15,0x3cbbd6729660,204,"BinaryOpICStub"
code-creation,CallIC,12,0x3cbbd6729740,113,"A call IC from the snapshot"
code-creation,Handler,4,0x3cbbd67297c0,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd6729840,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x3cbbd67298c0,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x3cbbd6729940,204,"BinaryOpICStub"
code-creation,Stub,3,0x3cbbd6729a20,117,"StubFailureTrampolineStub"
